ID,名人姓名,名人国籍,性别,发表地区,发表形式,事发日期,道歉时间,道歉原因,道歉原因归类,主要道歉对象,道歉对象所在地区,道歉人职业领域,发布平台,全文 简体,,,,,,,,,,,,,
110,赵薇,中国大陆,女,中国大陆,文字,6/27/2016,7/15/2016,涉使用“台独”演员,,,,艺人,微博,一直以最大的善意来对待一切，无论人还是事。但在最重要的大是大非面前，态度是无法模糊的。我要向所有被电影《没有别的爱》选角影响到的人致歉，也感谢所有怀抱善意提醒及督促我们的网友及媒体，无论何时，我都不会忘记自己中国人的身份，也会坚持国家和民族利益高于一切。,,,,,,,,,,,,,
111,宋冬野,中国大陆,男,中国大陆,文字,10/13/2016,10/25/2016,涉毒,,,,歌手,微博,1.我对不起父母，对不起妻子，对不起亲朋好友，对不起经纪公司，对不起曾相信我支持我的人们。 2.我犯法犯错，会深刻反省，不再浮躁，接受一切惩罚指责调侃和批评。 3.毒品并不能带来创作灵感，只能滋生更多的托辞和借口。 4.我依然热爱音乐，将单纯为了自己而继续认真创作，并且暂自动淡出，去游历积攒，补回荒废的时间，寻找最初的那种触动，安静思考成长和人生的意义。 5.我乐队的兄弟不得不暂时另谋生路，在此奢求昔日同行们多多帮助。 6.希望演艺人士以我为戒，即刻远离毒品，别再用那些借口骗自己，干干净净出作品。 7.我将不再抽大麻，不碰触其他任何毒品。 8.给大家添堵了，祝一切都好。,,,,,,,,,,,,,
112,赵雅琪,中国大陆,女,中国大陆,视频,11/17/2016,11/22/2016,出轨,,,,演员,媒体发布会,各位观众朋友，大家好。对于上周的事件，我正式的向大家道歉，并诚信的接受大家的批评。也对由于这件事影响到的人和伤害到的人表示深深的歉意，对不起，同时我也向公众道歉，因为我个人的行为给社会造成了负面的影响和错误的示范。真的很对不起。对于我的家人，为他们带来了巨大的压力、痛苦和伤害，是我最不能原谅自己的。以前，我从来没有想过，自己的草率行为会影响和伤害到其他的人。过去的一周是我从小到大最煎熬的几天，面对巨大的压力，我几近崩溃。发生的这一切让我措手不及。内心的恐惧和内疚使作为一个女性，我第一时间选择了逃避。直到看到网上，不实的信息和谣言越来越多，我才知道沉默带来了的是更大的伤害。我可以承担因为此事带来的惩罚，但是实在不想再让更多的无辜的人收到伤害，所以我选择面对一切。首先，我要澄清的是，“赵雅淇工作室”是一个跟我毫无关系的账号。很多不实的报道源于这个账号的发生，对于无辜受到影响的一些朋友，我表示深深的歉意。这一次的错，是难以弥补的。我不想祈求大家的原谅，只希望能给我一次机会，希望我的家人可以恢复平静的生活。最后再一次对我伤害的人，我要向你们表示深深的歉意。也感谢宽容我，给我鼓励的朋友，让我鼓起勇气来，来面对，来表达我的歉意及说出我的心里话。,,,,,,,,,,,,,
113,刘国梁,中国大陆,男,中国大陆,文字,6/23/2017,6/27/2017,退赛,,,,体育,微博,"一、我们坚决拥护习主席的各项深化改革方针，相信国家在习大大的带领下一定会越来越强大。

二、我认为中国体育改革势在必行！目前管理中心体制确实存在很多弊端，应给协会更多职能符合体育改革潮流，有利于乒乓球项目长远发展，在改革的道路中，我绝不会为了自己的总教练职务而影响改革的发展，一切都将以大局出发，尽自己的微薄之力去积极推进乒乓球项目改革！习大大说过，道路对了、不怕遥远…我感觉中国体育改革的春天到来了。

三、中国乒乓球队是代表国家参加国际比赛，为国争光和国家形象是任何事情和感情都不容触碰的…出现弃赛虽然事先我毫不知情，但是这几个运动员教练员都是我带过的队员，说明我在思想教育和管理上还是有不可推卸的责任！在此我代表他们向广大球迷鞠躬致歉……！

我们永远都是爱国，有血有肉、有情有义的中国“好儿子”。祖国利益高于一切，永远都会是中国乒乓球队的价值观和信仰，这一刻我的内心是既感动又心痛，感动在这样一个特殊时期，有那么多个与我并肩战斗十几年，积累了那么多年的战斗友谊和师徒情深“肝胆相照”的……这件事情也引发了舆论炒作，我感觉到很不安，不能对这件事情做没有根据的猜测和联想，更没有理由进行个人攻击，甚至反对体育改革和影响2020东京奥运备战的大环境！让我们所有的人紧紧团结在党中央习主席的身边……遇到了困难，不要埋怨自己，不要指责他人，不要放弃信心，不要逃避责任，而是要一起来战胜困难。历史是勇敢者创造的。让我们拿出信心、采取行动，携手向着未来前进！",,,,,,,,,,,,,
114,雷闯,中国大陆,男,中國大陸,文字,7/23/2018,7/23/2018,涉性侵,,,,公益人,朋友圈,"致被雷闯侵犯伤害的女生和关注雷闯的伙伴们，今天早上，有关于我涉嫌性侵害女生的朋友圈文章。 1、我承认文章中的事实，虽然有一些前因后果，但是任何因素都不是我可以推脱责任的理由。我要对那位女生说“对不起”，太多太深的伤害,我知道这句‘对不起’太迟、太不足够。我尤其追悔，在那件事情发生之后的整整三年里,我都没有真正反思和忏悔自己的行为，并且使得你心理的伤害一直延续至今。 2、我必须受到惩罚，道德的、精神的、物质的、法律的，我想我已经触犯了《刑法》，我愿意承担相关的刑事责任，我在考虑向警方自首。我尤其追悔，在伟大的me too 运动席卷全球的时候，我仍然没有真正反思和忏悔自己的行为、没有采取悔罪行动。如果有女权方面的机构或研究者愿意以我为反面典型做研究，我愿意配合。并请女权伙伴们告知我应该如何进一步悔罪、弥补伤害、惩罚。 3、不再担任现机构（亿友公益）负责人。接下来，还将提请理事会，变更亿友公益的法人（目前法人为雷闯）4、我也第一时间，讲此事告知了我的妻子，希望我们的孩子生活在无性侵害的社会中。对于我的其他类似行为，我同样沉痛和后悔莫及，并愿意承担一切责任。因为时间关系，先做简单回应，接下来还会做更详细的回应。",,,,,,,,,,,,,
115,吴谨言,中国大陆,女,中国大陆,文字,8/25/2018,8/28/2018,耍大牌,,,,演员,微博,我和团队向中国电影报道节目组诚恳致歉，对不起！希望自己成长中的每一步都有媒体和大众的监督。,,,,,,,,,,,,,
116,范冰冰,中国大陆,女,中国大陆,文字,9/30/2018,10/3/2018,逃税,,,,演员,微博,"最近一段时间，我经历了从未有过的痛苦、煎熬，进行了深刻的反思、反省，我对自己的所作所为深感羞愧、内疚，在这里我向大家诚恳道歉！
长期以来，由于自己没有摆正国家利益、社会利益和个人利益的关系，在影片《大轰炸》和其他一些合同中出现利用“拆分合同”等逃税问题，我深感羞愧。这些天在配合税务机关对我及我公司的税务检查中，我一直深刻反省：作为一个公众人物，应该遵纪守法，起到社会和行业的模范带头作用，不应在经济利益面前，丧失自我约束，放松管理，以致违法失守。在此，我诚恳地向社会、向爱护关心我的朋友，以及大众，向国家税务机关道歉。
对税务机关调查后，依法作出的一系列处罚决定，我们全接受。我将按照税务部门的最终处罚决定，尽全力克服一切困难，筹措资金、补缴税款、缴纳罚款。
我从小喜欢艺术，又赶上了影视业蓬勃发展的好时机。在诸多前辈的提携和观众朋友的爱护下，加之自己的不断努力，这才在演艺方面取得了一点成绩。作为一个演员，我常为自己能在世界舞台上展示我国文化而自豪，并不遗余力为此冲锋。可以说，我每一点成绩的取得，都离不开国家和人民群众的支持。没有党和国家的好政策，没有人民群众的爱护，就没有范冰冰。
今天，我对自己的过错深感惶恐不安！我辜负了国家对我的培养，辜负了社会对我的信任，也辜负了影迷对我的喜爱！在此，我再次向大家诚恳道歉！请大家原谅！
我相信，经过这次整顿，我会讲规矩、遵秩序、重责任，在把好的作品献给大家的同时，也要监督公司管理，守法经营，诚实守信，争做富有文化内涵的好公司，为全社会传播正能量！
再次向社会，向一直支持我的影迷，向关爱我的朋友家人真诚的说一句，对不起！",,,,,,,,,,,,,
117,俞敏洪,中国大陆,男,中国大陆,文字,11/18/2018,11/18/2018,不良性别言论,,,,企业家,微博,今天我某个论坛上阐释'衡量评价的方向决定了教育的方向'这一论点时，用了女人找男人的标准做例子，由于没有表达好，引起了广大网友的误解，在此深表歉意。我想表达的真正意思是：一个国家的女性的水平，就代表了国家的水平。女性素质高，母亲素质高，就能够教育出高素质的孩子。男性也被女性的价值观所引导，女性如果追求知性生活，男性一定会变得更智慧；女性如果眼里只有钱，男性就会拼命去挣钱，忽视了精神的修炼。女性强则男人强，则国家强,,,,,,,,,,,,,
118,翟天临,中国大陆,男,中国大陆,文字,2/4/2019,2/14/2019,学术造假,,,,演员,微博,近期网络上因我论文情况而引发的讨论，让我懊悔不已、深度自责。在这几天的舆论声讨和批判中，我深刻反思了自己的思想与言行。虚荣心和侥幸心让我迷失了自己。是我的不当行为，让学校声誉被连累、让学术风气被影响、让公众的信任被辜负。我深感自责和内疚。作为一名青年演员，我一直希望有足够的文化素养和理论基础来支撑自己的表演，这也是我向往学术的初衷。正是出于对学习的重视，我决定攻读研究生。研究生就读期间，我参加了一系列影视作品的拍摄，并有幸取得了一点成绩。从那时起，我内心开始飘飘然，开始吹嘘自己，这种不良心态还被我带入到论文写作过程中，这促使我内心始终心存侥幸，忘记了初衷。我本应牢记，诚信是一切的准则。再次，我也要向被我影响到的相关论文作者真诚道歉。北京电影学院是我最为感恩的母校。我愿意积极配合学院的一切调查，毫无推卸地承担我的责任并接受学院做出的一切决定。北京大学是我最为向往的殿堂。我充满歉意地向光华管理学院提出，我正式申请退出北京大学博士后科研流动站的相关工作。如果没有大家这次严厉批评与斥责，我曾经误以为自己已经到达了某一个阶段的彼岸，现在才发现，其实我是误入了歧途，距离目标还很远很远。我真诚地恳求大家原谅我这个曾经被虚荣心作祟的年轻人。最后，我在以万分之诚意，向学校、向爱护我的师长，以及社会大众郑重道歉。还有一直支持我的粉丝们，对不起让你们失望了。请大家相信，我必将以此为鉴，用最严谨的态度与行动，踏踏实实、认认真真对待每一件事，勤勤恳恳、本本分分做好自己。,,,,,,,,,,,,,
119,崔永元,中国大陆,男,中国大陆,文字,5/10/2019,5/10/2019,爆料高法被驳,,,,主持人,微博,"1、做为一个从业多年的新闻工作者，做为一名高校教师，坚决拥护、认可中央调查组调查结论。
2、反思个人在此事件上的作法，在任何时候都不能轻信未经仔细证实的资料。对此我很后悔，真诚道歉，并愿意承担一切责任。
3、以健康的身体和心态，全力以赴投入教学研究、学科建设，在做学问、做人、培养学生方面，投入更多精力，争取取得成就。
谢谢网友们的支持，让我们在爱国敬业、遵规守法的道路上，不忘初心，多多奉献。",,,,,,,,,,,,,
